gene	RCP	LCP
ENSG00000172613	  0.088	  1.000
ENSG00000163703	  0.999	  0.999
ENSG00000162613	  0.068	  0.999
ENSG00000269894	  0.999	  0.999
ENSG00000198945	  0.998	  0.998
ENSG00000103253	  0.720	  0.994
ENSG00000177311	  0.045	  0.993
ENSG00000176720	  0.546	  0.992
ENSG00000172340	  0.836	  0.992
ENSG00000101417	  0.827	  0.989
ENSG00000132386	  0.681	  0.988
ENSG00000277791	  0.913	  0.988
ENSG00000112977	  0.987	  0.987
ENSG00000165801	  0.861	  0.986
ENSG00000140455	  0.564	  0.981
ENSG00000183386	  0.953	  0.974
ENSG00000139155	  0.258	  0.972
ENSG00000186212	  0.577	  0.969
ENSG00000135835	  0.945	  0.967
ENSG00000011105	  0.704	  0.964
ENSG00000163702	  0.963	  0.963
ENSG00000183520	  0.868	  0.962
ENSG00000119147	  0.961	  0.961
ENSG00000142233	  0.529	  0.953
ENSG00000008710	  0.475	  0.947
ENSG00000169925	  0.727	  0.946
ENSG00000112414	  0.288	  0.942
ENSG00000280417	  0.317	  0.940
ENSG00000243795	  0.051	  0.925
ENSG00000257727	  0.180	  0.921
ENSG00000281026	  0.153	  0.920
ENSG00000113083	  0.638	  0.915
ENSG00000215529	  0.568	  0.907
ENSG00000141429	  0.674	  0.902
ENSG00000134222	  0.733	  0.902
ENSG00000267583	  0.842	  0.900
ENSG00000070950	  0.346	  0.900
ENSG00000228804	  0.266	  0.899
ENSG00000153391	  0.743	  0.897
ENSG00000233016	  0.890	  0.890
ENSG00000183741	  0.109	  0.885
ENSG00000135596	  0.238	  0.884
ENSG00000138639	  0.428	  0.884
ENSG00000107959	  0.878	  0.878
ENSG00000267100	  0.242	  0.876
ENSG00000168077	  0.312	  0.874
ENSG00000260273	  0.392	  0.874
ENSG00000002726	  0.574	  0.874
ENSG00000105755	  0.545	  0.872
ENSG00000077348	  0.051	  0.868
ENSG00000184669	  0.330	  0.865
ENSG00000176472	  0.717	  0.862
ENSG00000116883	  0.840	  0.856
ENSG00000177951	  0.845	  0.851
ENSG00000234028	  0.633	  0.843
ENSG00000126464	  0.567	  0.834
ENSG00000184007	  0.164	  0.834
ENSG00000162869	  0.831	  0.831
ENSG00000109919	  0.137	  0.828
ENSG00000231426	  0.390	  0.826
ENSG00000122912	  0.811	  0.822
ENSG00000228290	  0.317	  0.818
ENSG00000108239	  0.170	  0.813
ENSG00000183150	  0.424	  0.813
ENSG00000179119	  0.559	  0.801
ENSG00000243176	  0.199	  0.793
ENSG00000104756	  0.083	  0.790
ENSG00000164713	  0.124	  0.779
ENSG00000137098	  0.773	  0.773
ENSG00000248514	  0.610	  0.772
ENSG00000150527	  0.456	  0.766
ENSG00000271151	  0.615	  0.765
ENSG00000168496	  0.296	  0.761
ENSG00000165424	  0.655	  0.754
ENSG00000214578	  0.042	  0.751
ENSG00000183682	  0.515	  0.751
ENSG00000234906	  0.526	  0.750
ENSG00000006468	  0.175	  0.742
ENSG00000235138	  0.355	  0.742
ENSG00000260257	  0.592	  0.716
ENSG00000101367	  0.671	  0.715
ENSG00000130177	  0.586	  0.709
ENSG00000165449	  0.064	  0.708
ENSG00000067208	  0.207	  0.690
ENSG00000198860	  0.352	  0.689
ENSG00000266969	  0.148	  0.689
ENSG00000237248	  0.165	  0.688
ENSG00000283602	  0.433	  0.686
ENSG00000175426	  0.176	  0.685
ENSG00000273619	  0.678	  0.685
ENSG00000163933	  0.119	  0.676
ENSG00000155542	  0.298	  0.672
ENSG00000237984	  0.270	  0.665
ENSG00000186834	  0.379	  0.662
ENSG00000176909	  0.368	  0.659
ENSG00000231165	  0.203	  0.659
ENSG00000105501	  0.655	  0.655
