gene	RCP	LCP
ENSG00000162613	  0.062	  1.000
ENSG00000164743	  0.999	  0.999
ENSG00000163703	  0.999	  0.999
ENSG00000214193	  0.817	  0.998
ENSG00000172613	  0.160	  0.996
ENSG00000281920	  0.306	  0.995
ENSG00000183386	  0.965	  0.991
ENSG00000279722	  0.356	  0.990
ENSG00000198945	  0.154	  0.989
ENSG00000112977	  0.988	  0.988
ENSG00000267100	  0.217	  0.986
ENSG00000136059	  0.054	  0.984
ENSG00000230082	  0.983	  0.983
ENSG00000176531	  0.420	  0.975
ENSG00000204713	  0.089	  0.972
ENSG00000170954	  0.883	  0.971
ENSG00000103260	  0.096	  0.964
ENSG00000132386	  0.543	  0.956
ENSG00000260273	  0.305	  0.953
ENSG00000104332	  0.564	  0.941
ENSG00000234465	  0.556	  0.940
ENSG00000119147	  0.659	  0.940
ENSG00000240057	  0.683	  0.939
ENSG00000126464	  0.592	  0.933
ENSG00000129003	  0.175	  0.932
ENSG00000183682	  0.393	  0.925
ENSG00000162869	  0.922	  0.922
ENSG00000197050	  0.185	  0.917
ENSG00000116883	  0.858	  0.904
ENSG00000151893	  0.776	  0.897
ENSG00000233016	  0.896	  0.896
ENSG00000178209	  0.134	  0.890
ENSG00000243795	  0.117	  0.890
ENSG00000107959	  0.878	  0.878
ENSG00000171206	  0.138	  0.873
ENSG00000277840	  0.265	  0.870
ENSG00000134222	  0.651	  0.861
ENSG00000173145	  0.697	  0.849
ENSG00000070950	  0.274	  0.844
ENSG00000248367	  0.022	  0.840
ENSG00000157653	  0.140	  0.830
ENSG00000134851	  0.300	  0.827
ENSG00000084093	  0.683	  0.818
ENSG00000239713	  0.477	  0.806
ENSG00000176155	  0.098	  0.800
ENSG00000185163	  0.519	  0.792
ENSG00000122870	  0.141	  0.778
ENSG00000131435	  0.520	  0.768
ENSG00000242142	  0.680	  0.729
ENSG00000149485	  0.386	  0.728
ENSG00000260947	  0.299	  0.723
ENSG00000196876	  0.661	  0.723
ENSG00000010803	  0.004	  0.716
ENSG00000283602	  0.397	  0.714
ENSG00000101104	  0.343	  0.701
ENSG00000248514	  0.191	  0.698
ENSG00000250900	  0.255	  0.695
ENSG00000271151	  0.590	  0.694
ENSG00000273619	  0.647	  0.689
ENSG00000260257	  0.553	  0.689
ENSG00000166913	  0.305	  0.687
ENSG00000204978	  0.269	  0.685
ENSG00000152952	  0.603	  0.673
ENSG00000103253	  0.672	  0.672
ENSG00000071967	  0.486	  0.667
ENSG00000278978	  0.110	  0.665
ENSG00000237984	  0.272	  0.661
ENSG00000156381	  0.544	  0.646
ENSG00000137501	  0.235	  0.641
ENSG00000181754	  0.631	  0.631
ENSG00000130177	  0.573	  0.631
ENSG00000149679	  0.406	  0.629
ENSG00000071054	  0.192	  0.626
ENSG00000176472	  0.418	  0.624
